,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
600,2009,Q1,Interior,100 Mile District General Hospital,All Procedures,19,7,9.1,15.2
601,2009,Q1,Interior,100 Mile District General Hospital,Dental Surgery,19,6,9.4,15.9
602,2009,Q1,Interior,All Facilities,All Other Procedures,134,187,4.0,15.1
603,2009,Q1,Interior,All Facilities,All Procedures,13494,10756,5.4,26.7
604,2009,Q1,Interior,All Facilities,Aortic Aneurysm Repair,8,10,4.5,13.3
605,2009,Q1,Interior,All Facilities,Biopsy in OR,76,161,2.7,9.3
606,2009,Q1,Interior,All Facilities,Bladder Surgery,353,315,5.3,25.0
607,2009,Q1,Interior,All Facilities,Bowel Resection,56,130,2.1,7.7
608,2009,Q1,Interior,All Facilities,Breast Biopsy,54,127,2.1,4.8
609,2009,Q1,Interior,All Facilities,Breast Reconstruction,56,48,5.9,33.0
610,2009,Q1,Interior,All Facilities,Breast Reduction,130,82,12.1,40.2
611,2009,Q1,Interior,All Facilities,Cataract Surgery,1755,2105,5.3,22.7
612,2009,Q1,Interior,All Facilities,Cholecystectomy,264,283,4.6,18.5
613,2009,Q1,Interior,All Facilities,Colostomy/Ileostomy,37,40,4.9,9.9
614,2009,Q1,Interior,All Facilities,Cone Biopsy,12,22,2.4,5.0
615,2009,Q1,Interior,All Facilities,Cranial Surgery,8,23,1.9,13.0
616,2009,Q1,Interior,All Facilities,Cyst/Ganglion Removal,84,69,4.7,26.2
617,2009,Q1,Interior,All Facilities,D&C and Related Surgery,306,557,3.9,12.9
618,2009,Q1,Interior,All Facilities,Dental Surgery,285,295,4.6,18.1
619,2009,Q1,Interior,All Facilities,Endarterectomy,18,27,5.0,10.7
620,2009,Q1,Interior,All Facilities,Esophagectomy,10,8,4.0,19.8
621,2009,Q1,Interior,All Facilities,Examination Under Anaesthetic,11,15,2.1,5.4
622,2009,Q1,Interior,All Facilities,Excision Lesion/Tumour,32,82,3.5,8.3
623,2009,Q1,Interior,All Facilities,Facial Bone Reconstruction,23,20,3.4,7.0
624,2009,Q1,Interior,All Facilities,Fallopian Tube/Ovarian Surgery,245,196,5.0,21.5
625,2009,Q1,Interior,All Facilities,Foot/Ankle Surgery,24,18,5.4,39.2
626,2009,Q1,Interior,All Facilities,Foreign Body Removal Surgery,18,22,5.0,26.4
627,2009,Q1,Interior,All Facilities,Fracture Repair,47,57,0.6,10.8
628,2009,Q1,Interior,All Facilities,Free Flap Graft,13,7,6.4,28.8
629,2009,Q1,Interior,All Facilities,Hand/Wrist Surgery,173,128,6.4,27.2
630,2009,Q1,Interior,All Facilities,Hernia Repair - Abdominal,671,598,7.0,29.1
631,2009,Q1,Interior,All Facilities,Hernia Repair - Hiatal,42,23,26.0,37.7
632,2009,Q1,Interior,All Facilities,Hip Replacement,317,243,10.3,30.8
633,2009,Q1,Interior,All Facilities,Kidney/Bladder Stone Removal,33,66,4.0,11.2
634,2009,Q1,Interior,All Facilities,Knee - ACL Repair,133,85,9.4,24.3
635,2009,Q1,Interior,All Facilities,Knee - Meniscectomy,200,184,7.9,26.9
636,2009,Q1,Interior,All Facilities,Knee Arthroscopy,641,379,6.6,25.7
637,2009,Q1,Interior,All Facilities,Knee Replacement,673,342,12.9,38.9
638,2009,Q1,Interior,All Facilities,Laparoscopy,97,89,5.7,12.6
639,2009,Q1,Interior,All Facilities,Laparotomy,8,23,2.4,14.2
640,2009,Q1,Interior,All Facilities,Lens & Vitreous (non-cataract) Surgery,63,50,3.4,29.1
641,2009,Q1,Interior,All Facilities,Lipectomy,15,10,8.4,52.8
642,2009,Q1,Interior,All Facilities,Lung Surgery,7,13,4.0,5.6
643,2009,Q1,Interior,All Facilities,Male Reproductive Surgery,166,102,9.6,21.7
644,2009,Q1,Interior,All Facilities,Mastectomy,54,165,1.7,4.0
645,2009,Q1,Interior,All Facilities,Mastoidectomy,31,9,17.0,37.1
646,2009,Q1,Interior,All Facilities,Myringotomy,86,79,4.6,11.1
647,2009,Q1,Interior,All Facilities,Nasal Surgery,559,112,18.7,58.1
648,2009,Q1,Interior,All Facilities,Nerve Surgery,302,80,10.1,42.3
649,2009,Q1,Interior,All Facilities,Oral Cavity & Pharynx Surgery,3,6,3.9,8.6
650,2009,Q1,Interior,All Facilities,Other Ear Surgery,20,11,9.4,30.3
651,2009,Q1,Interior,All Facilities,Other Eye Surgery,105,71,11.0,48.4
652,2009,Q1,Interior,All Facilities,Other Joint Reconstruction,230,100,9.1,40.6
653,2009,Q1,Interior,All Facilities,Other Orthopaedic Surgery,639,360,7.8,30.9
654,2009,Q1,Interior,All Facilities,Other Urology Surgery,434,332,5.5,48.2
655,2009,Q1,Interior,All Facilities,Parotidectomy,16,15,7.3,25.0
656,2009,Q1,Interior,All Facilities,Prostate Surgery,165,197,5.0,21.0
657,2009,Q1,Interior,All Facilities,Rectal Surgery,106,77,6.4,34.2
658,2009,Q1,Interior,All Facilities,Rib Resection,28,11,27.6,37.9
659,2009,Q1,Interior,All Facilities,Scope of Chest,14,68,2.7,4.9
660,2009,Q1,Interior,All Facilities,Shoulder Surgery,606,156,11.4,46.1
661,2009,Q1,Interior,All Facilities,Sinus Surgery,283,69,21.9,52.8
662,2009,Q1,Interior,All Facilities,Skin Surgery,73,65,4.3,21.2
663,2009,Q1,Interior,All Facilities,Skin Tumour Removal,94,127,3.9,16.2
664,2009,Q1,Interior,All Facilities,Sphincterotomy,10,14,2.9,7.6
665,2009,Q1,Interior,All Facilities,Spinal/Back Surgery,433,238,8.9,36.7
666,2009,Q1,Interior,All Facilities,Tendon Surgery,69,37,2.7,43.1
667,2009,Q1,Interior,All Facilities,Thoracotomy,7,33,4.1,6.6
668,2009,Q1,Interior,All Facilities,Thyroidectomy,29,60,5.2,23.6
669,2009,Q1,Interior,All Facilities,Tonsillectomy/Adenoidectomy,666,184,11.5,33.3
670,2009,Q1,Interior,All Facilities,Tympanoplasty,147,20,21.3,47.1
671,2009,Q1,Interior,All Facilities,Uterine Surgery,398,461,5.4,19.6
672,2009,Q1,Interior,All Facilities,Vaginal Repair,160,111,10.7,44.0
673,2009,Q1,Interior,All Facilities,Varicose Veins Ligation/Stripping,288,48,11.8,50.2
674,2009,Q1,Interior,All Facilities,Vascular Bypass Graft - Non Cardiac,34,40,5.9,15.5
675,2009,Q1,Interior,All Facilities,Vascular Surgery - Other,46,107,1.4,9.8
676,2009,Q1,Interior,All Facilities,Wound/Laceration Care,22,35,1.9,6.9
677,2009,Q1,Interior,Cariboo Memorial Hospital,All Other Procedures,3,5,2.1,3.1
678,2009,Q1,Interior,Cariboo Memorial Hospital,All Procedures,76,396,1.9,4.9
679,2009,Q1,Interior,Cariboo Memorial Hospital,Biopsy in OR,3,16,1.6,3.9
680,2009,Q1,Interior,Cariboo Memorial Hospital,Bladder Surgery,3,12,1.5,3.3
