,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1006,2009,Q1,Northern,All Facilities,All Other Procedures,434,617,4.4,18.0
1007,2009,Q1,Northern,All Facilities,All Procedures,4774,3905,4.3,28.4
1008,2009,Q1,Northern,All Facilities,Biopsy in OR,16,23,2.6,6.9
1009,2009,Q1,Northern,All Facilities,Bladder Surgery,125,100,3.7,39.7
1010,2009,Q1,Northern,All Facilities,Bowel Resection,17,34,2.1,8.3
1011,2009,Q1,Northern,All Facilities,Breast Biopsy,14,45,2.1,4.5
1012,2009,Q1,Northern,All Facilities,Breast Reconstruction,14,20,2.2,10.3
1013,2009,Q1,Northern,All Facilities,Breast Reduction,70,27,11.0,23.0
1014,2009,Q1,Northern,All Facilities,Cataract Surgery,401,447,2.6,32.4
1015,2009,Q1,Northern,All Facilities,Cholecystectomy,94,129,4.0,19.4
1016,2009,Q1,Northern,All Facilities,Colostomy/Ileostomy,3,15,4.1,41.6
1017,2009,Q1,Northern,All Facilities,Cone Biopsy,8,31,3.4,6.9
1018,2009,Q1,Northern,All Facilities,Cyst/Ganglion Removal,55,39,3.7,10.1
1019,2009,Q1,Northern,All Facilities,D&C and Related Surgery,65,100,2.0,7.6
1020,2009,Q1,Northern,All Facilities,Dental Surgery,141,167,8.1,29.7
1021,2009,Q1,Northern,All Facilities,Examination Under Anaesthetic,10,31,1.3,4.6
1022,2009,Q1,Northern,All Facilities,Excision Lesion/Tumour,19,34,2.2,11.6
1023,2009,Q1,Northern,All Facilities,Fallopian Tube/Ovarian Surgery,91,79,4.3,22.6
1024,2009,Q1,Northern,All Facilities,Foot/Ankle Surgery,57,14,13.7,108.3
1025,2009,Q1,Northern,All Facilities,Fracture Repair,25,25,5.0,44.2
1026,2009,Q1,Northern,All Facilities,Hand/Wrist Surgery,76,54,6.3,27.5
1027,2009,Q1,Northern,All Facilities,Hernia Repair - Abdominal,175,183,4.7,22.3
1028,2009,Q1,Northern,All Facilities,Hernia Repair - Hiatal,5,5,3.1,5.0
1029,2009,Q1,Northern,All Facilities,Hip Replacement,131,49,22.0,64.5
1030,2009,Q1,Northern,All Facilities,Kidney/Bladder Stone Removal,7,11,3.6,12.1
1031,2009,Q1,Northern,All Facilities,Knee - ACL Repair,78,24,6.2,34.0
1032,2009,Q1,Northern,All Facilities,Knee Arthroscopy,331,170,7.2,29.2
1033,2009,Q1,Northern,All Facilities,Knee Replacement,497,90,37.3,94.3
1034,2009,Q1,Northern,All Facilities,Laparoscopy,35,53,2.4,12.5
1035,2009,Q1,Northern,All Facilities,Laparotomy,3,16,4.7,14.8
1036,2009,Q1,Northern,All Facilities,Lens & Vitreous (non-cataract) Surgery,3,11,4.1,7.1
1037,2009,Q1,Northern,All Facilities,Lipectomy,14,22,3.0,9.0
1038,2009,Q1,Northern,All Facilities,Male Reproductive Surgery,81,75,6.1,18.7
1039,2009,Q1,Northern,All Facilities,Mastectomy,12,40,2.1,5.0
1040,2009,Q1,Northern,All Facilities,Myringotomy,18,31,4.7,11.1
1041,2009,Q1,Northern,All Facilities,Nasal Surgery,73,37,15.7,64.3
1042,2009,Q1,Northern,All Facilities,Nerve Surgery,17,29,4.4,11.2
1043,2009,Q1,Northern,All Facilities,Oral Cavity & Pharynx Surgery,5,8,4.4,39.7
1044,2009,Q1,Northern,All Facilities,Other Eye Surgery,28,9,4.4,20.9
1045,2009,Q1,Northern,All Facilities,Other Joint Reconstruction,77,30,7.9,35.3
1046,2009,Q1,Northern,All Facilities,Other Orthopaedic Surgery,270,141,6.0,29.1
1047,2009,Q1,Northern,All Facilities,Other Urology Surgery,97,78,4.0,30.7
1048,2009,Q1,Northern,All Facilities,Prostate Surgery,56,29,6.7,75.1
1049,2009,Q1,Northern,All Facilities,Rectal Surgery,29,25,5.9,20.6
1050,2009,Q1,Northern,All Facilities,Shoulder Surgery,240,59,8.6,62.0
1051,2009,Q1,Northern,All Facilities,Sinus Surgery,41,8,12.8,58.2
1052,2009,Q1,Northern,All Facilities,Skin Surgery,5,15,3.1,37.1
1053,2009,Q1,Northern,All Facilities,Skin Tumour Removal,47,71,2.9,11.6
1054,2009,Q1,Northern,All Facilities,Sphincterotomy,3,5,2.7,10.4
1055,2009,Q1,Northern,All Facilities,Tendon Surgery,18,20,8.1,55.0
1056,2009,Q1,Northern,All Facilities,Thyroidectomy,12,24,3.5,8.7
1057,2009,Q1,Northern,All Facilities,Tonsillectomy/Adenoidectomy,242,123,10.3,30.1
1058,2009,Q1,Northern,All Facilities,Uterine Surgery,215,240,3.4,17.9
1059,2009,Q1,Northern,All Facilities,Vaginal Repair,50,21,5.9,24.6
1060,2009,Q1,Northern,All Facilities,Varicose Veins Ligation/Stripping,40,24,6.3,13.6
1061,2009,Q1,Northern,All Facilities,Vascular Surgery - Other,27,28,1.7,7.8
1062,2009,Q1,Northern,All Facilities,Wound/Laceration Care,23,34,1.2,6.9
1063,2009,Q1,Northern,Bulkley Valley District Hospital,All Other Procedures,8,5,23.1,84.8
1064,2009,Q1,Northern,Bulkley Valley District Hospital,All Procedures,141,83,9.0,46.1
