,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1232,2009,Q1,Provincial Health Services Authority,All Facilities,All Other Procedures,5,15,5.0,8.3
1233,2009,Q1,Provincial Health Services Authority,All Facilities,All Procedures,345,463,4.6,11.8
1234,2009,Q1,Provincial Health Services Authority,All Facilities,Breast Biopsy,13,32,1.9,3.1
1235,2009,Q1,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,21,70,1.9,8.8
1236,2009,Q1,Provincial Health Services Authority,All Facilities,Examination Under Anaesthetic,3,7,1.7,2.9
1237,2009,Q1,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,12,6,2.6,4.6
1238,2009,Q1,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,29,44,5.6,12.3
1239,2009,Q1,Provincial Health Services Authority,All Facilities,Laparoscopy,12,24,4.9,9.8
1240,2009,Q1,Provincial Health Services Authority,All Facilities,Mastectomy,5,5,2.0,3.3
1241,2009,Q1,Provincial Health Services Authority,All Facilities,Uterine Surgery,173,226,6.3,14.1
1242,2009,Q1,Provincial Health Services Authority,All Facilities,Vaginal Repair,11,9,2.3,5.3
1243,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,40,67,2.0,3.6
1244,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,13,32,1.9,3.1
1245,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,12,6,2.6,4.6
1246,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,5,5,2.0,3.3
1247,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,5,1.1,2.7
1248,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,5,15,5.0,8.3
1249,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,256,396,5.1,12.1
1250,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,21,68,1.9,8.9
1251,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,29,44,5.6,12.3
1252,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,12,24,4.9,9.8
1253,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,173,226,6.3,14.1
3185,2009,Q2,Provincial Health Services Authority,All Facilities,All Other Procedures,3,12,3.4,10.7
3186,2009,Q2,Provincial Health Services Authority,All Facilities,All Procedures,434,467,4.9,13.8
3187,2009,Q2,Provincial Health Services Authority,All Facilities,Biopsy in OR,3,5,2.6,6.4
3188,2009,Q2,Provincial Health Services Authority,All Facilities,Breast Biopsy,13,54,2.2,7.1
3189,2009,Q2,Provincial Health Services Authority,All Facilities,Cone Biopsy,3,8,6.1,11.4
3190,2009,Q2,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,24,54,2.1,10.8
3191,2009,Q2,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,25,23,3.6,5.7
3192,2009,Q2,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,42,41,6.9,17.4
3193,2009,Q2,Provincial Health Services Authority,All Facilities,Laparoscopy,11,16,9.7,15.2
3194,2009,Q2,Provincial Health Services Authority,All Facilities,Mastectomy,3,13,1.7,6.1
3195,2009,Q2,Provincial Health Services Authority,All Facilities,Uterine Surgery,209,204,6.5,14.4
3196,2009,Q2,Provincial Health Services Authority,All Facilities,Vaginal Repair,8,16,3.7,19.0
3197,2009,Q2,Provincial Health Services Authority,All Facilities,Vascular Surgery - Other,5,5,4.0,9.2
3198,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,51,131,2.3,6.3
3199,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,5,2.6,6.4
3200,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,13,54,2.2,7.1
3201,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,12,1.4,4.3
3202,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,25,23,3.6,5.7
3203,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,13,1.7,6.1
3204,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,9,2.3,5.1
3205,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,5,5,4.0,9.2
3206,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,12,3.4,10.7
3207,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,298,336,6.1,16.0
3208,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,23,42,3.0,11.4
3209,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,42,41,6.9,17.4
3210,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,11,16,9.7,15.2
3211,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,209,204,6.5,14.4
3212,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,6,7,13.0,21.2
5103,2009,Q3,Provincial Health Services Authority,All Facilities,All Other Procedures,9,12,4.1,9.9
5104,2009,Q3,Provincial Health Services Authority,All Facilities,All Procedures,409,525,5.1,14.0
5105,2009,Q3,Provincial Health Services Authority,All Facilities,Biopsy in OR,3,10,2.0,2.9
5106,2009,Q3,Provincial Health Services Authority,All Facilities,Breast Biopsy,14,61,2.3,6.0
5107,2009,Q3,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,25,62,3.4,10.7
5108,2009,Q3,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,16,32,9.4,15.6
5109,2009,Q3,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,26,54,5.8,20.3
5110,2009,Q3,Provincial Health Services Authority,All Facilities,Laparoscopy,16,14,8.4,12.4
5111,2009,Q3,Provincial Health Services Authority,All Facilities,Mastectomy,3,16,1.4,2.7
5112,2009,Q3,Provincial Health Services Authority,All Facilities,Uterine Surgery,162,228,7.3,14.7
5113,2009,Q3,Provincial Health Services Authority,All Facilities,Vaginal Repair,9,13,5.1,17.0
5114,2009,Q3,Provincial Health Services Authority,All Facilities,Vascular Surgery - Other,3,9,3.4,8.6
5115,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,41,143,2.7,10.6
5116,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,14,61,2.3,6.0
5117,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,16,32,9.4,15.6
5118,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,16,1.4,2.7
5119,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,7,3.9,7.9
5120,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,3,9,3.4,8.6
5121,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,7,12,4.1,9.9
5122,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,250,382,6.1,14.7
5123,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,22,59,3.0,10.9
5124,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,26,54,5.8,20.3
5125,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,16,14,8.4,12.4
5126,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,162,228,7.3,14.7
5127,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,7,6,9.9,21.1
7034,2009,Q4,Provincial Health Services Authority,All Facilities,All Other Procedures,5,11,4.7,8.9
7035,2009,Q4,Provincial Health Services Authority,All Facilities,All Procedures,505,567,4.0,12.4
7036,2009,Q4,Provincial Health Services Authority,All Facilities,Biopsy in OR,3,14,1.3,5.1
7037,2009,Q4,Provincial Health Services Authority,All Facilities,Breast Biopsy,11,69,2.1,4.9
7038,2009,Q4,Provincial Health Services Authority,All Facilities,Cone Biopsy,3,8,2.6,9.0
7039,2009,Q4,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,16,80,3.7,10.8
7040,2009,Q4,Provincial Health Services Authority,All Facilities,Examination Under Anaesthetic,3,5,1.0,8.6
7041,2009,Q4,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,13,29,9.0,15.2
7042,2009,Q4,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,36,50,4.4,12.9
7043,2009,Q4,Provincial Health Services Authority,All Facilities,Laparoscopy,15,38,3.9,8.1
7044,2009,Q4,Provincial Health Services Authority,All Facilities,Mastectomy,6,12,2.9,3.9
7045,2009,Q4,Provincial Health Services Authority,All Facilities,Skin Tumour Removal,3,10,3.8,4.9
7046,2009,Q4,Provincial Health Services Authority,All Facilities,Uterine Surgery,202,206,6.4,14.0
7047,2009,Q4,Provincial Health Services Authority,All Facilities,Vaginal Repair,8,26,3.6,10.6
7048,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,38,170,2.7,8.4
7049,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,13,0.9,3.3
7050,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,11,69,2.1,4.9
7051,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,12,29,9.0,15.2
7052,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,6,12,2.9,3.9
7053,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,5,19,3.3,7.3
7054,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,11,4.7,8.9
7055,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,281,397,5.0,13.3
7056,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,16,69,3.9,11.3
7057,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,36,50,4.4,12.9
7058,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,14,38,3.9,8.1
7059,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Skin Tumour Removal,3,5,4.4,5.9
7060,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,202,206,6.4,14.0
7061,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,3,7,8.9,19.1
9019,2010,Q1,Provincial Health Services Authority,All Facilities,All Other Procedures,7,8,1.4,8.3
9020,2010,Q1,Provincial Health Services Authority,All Facilities,All Procedures,552,561,4.6,12.3
9021,2010,Q1,Provincial Health Services Authority,All Facilities,Biopsy in OR,3,11,1.6,2.9
9022,2010,Q1,Provincial Health Services Authority,All Facilities,Breast Biopsy,10,61,3.9,6.4
9023,2010,Q1,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,31,76,2.6,7.4
9024,2010,Q1,Provincial Health Services Authority,All Facilities,Examination Under Anaesthetic,3,5,8.4,18.0
9025,2010,Q1,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,8,20,5.4,12.5
9026,2010,Q1,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,28,59,4.6,10.8
9027,2010,Q1,Provincial Health Services Authority,All Facilities,Laparoscopy,5,30,4.1,12.8
9028,2010,Q1,Provincial Health Services Authority,All Facilities,Mastectomy,3,12,3.2,5.0
9029,2010,Q1,Provincial Health Services Authority,All Facilities,Skin Tumour Removal,7,8,1.4,3.0
9030,2010,Q1,Provincial Health Services Authority,All Facilities,Uterine Surgery,178,240,6.7,14.3
9031,2010,Q1,Provincial Health Services Authority,All Facilities,Vaginal Repair,8,17,4.4,13.6
9032,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,27,139,3.3,7.6
9033,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,10,61,3.9,6.4
9034,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,8,1.5,5.5
9035,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,7,20,5.4,12.5
9036,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,12,3.2,5.0
9037,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,13,2.3,5.0
9038,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,8,1.4,8.3
9039,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,248,422,5.4,13.1
9040,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,29,68,2.6,7.5
9041,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,28,59,4.6,10.8
9042,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,3,30,4.1,12.8
9043,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,178,240,6.7,14.3
10909,2010,Q2,Provincial Health Services Authority,All Facilities,All Other Procedures,15,21,2.0,4.9
10910,2010,Q2,Provincial Health Services Authority,All Facilities,All Procedures,735,503,4.0,12.6
10911,2010,Q2,Provincial Health Services Authority,All Facilities,Biopsy in OR,6,8,1.4,2.3
10912,2010,Q2,Provincial Health Services Authority,All Facilities,Breast Biopsy,20,50,2.1,5.5
10913,2010,Q2,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,28,74,3.1,11.8
10914,2010,Q2,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,24,18,1.9,5.7
10915,2010,Q2,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,22,38,6.2,13.6
10916,2010,Q2,Provincial Health Services Authority,All Facilities,Laparoscopy,10,15,4.0,10.1
10917,2010,Q2,Provincial Health Services Authority,All Facilities,Mastectomy,5,16,1.6,4.7
10918,2010,Q2,Provincial Health Services Authority,All Facilities,Skin Tumour Removal,11,6,1.7,8.1
10919,2010,Q2,Provincial Health Services Authority,All Facilities,Uterine Surgery,194,229,5.7,14.7
10920,2010,Q2,Provincial Health Services Authority,All Facilities,Vaginal Repair,3,10,4.4,13.7
10921,2010,Q2,Provincial Health Services Authority,All Facilities,Vascular Surgery - Other,3,7,5.4,6.9
10922,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,55,121,2.3,5.7
10923,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,8,1.4,2.3
10924,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,20,50,2.1,5.5
10925,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,5,4.1,6.0
10926,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,20,18,1.9,5.7
10927,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,5,16,1.6,4.7
10928,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,7,4.1,9.7
10929,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,3,7,5.4,6.9
10930,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,7,21,2.0,4.9
10931,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,263,382,4.9,13.8
10932,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,25,69,2.7,12.2
10933,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,22,38,6.2,13.6
10934,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,9,15,4.0,10.1
10935,2010,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,194,229,5.7,14.7
12846,2010,Q3,Provincial Health Services Authority,All Facilities,All Other Procedures,31,18,2.8,6.6
12847,2010,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1104,517,4.1,13.0
12848,2010,Q3,Provincial Health Services Authority,All Facilities,Biopsy in OR,9,12,2.5,7.3
12849,2010,Q3,Provincial Health Services Authority,All Facilities,Breast Biopsy,9,57,2.6,5.7
12850,2010,Q3,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,45,80,1.9,8.9
12851,2010,Q3,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,29,25,8.3,13.0
12852,2010,Q3,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,35,32,4.6,14.0
12853,2010,Q3,Provincial Health Services Authority,All Facilities,Laparoscopy,11,13,3.0,10.9
12854,2010,Q3,Provincial Health Services Authority,All Facilities,Mastectomy,3,14,2.1,4.8
12855,2010,Q3,Provincial Health Services Authority,All Facilities,Uterine Surgery,179,233,6.1,14.3
12856,2010,Q3,Provincial Health Services Authority,All Facilities,Vaginal Repair,9,16,2.4,6.8
12857,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,39,133,2.7,10.9
12858,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,5,9,2.0,2.9
12859,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,9,57,2.6,5.7
12860,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,7,1.6,4.4
12861,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,13,25,8.3,13.0
12862,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,14,2.1,4.8
12863,2010,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,12,2.2,4.1
12864,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,12,18,2.8,6.6
12865,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,286,384,4.9,13.7
12866,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,43,73,1.9,8.9
12867,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,35,32,4.6,14.0
12868,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,10,13,3.0,10.9
12869,2010,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,179,233,6.1,14.3
14792,2010,Q4,Provincial Health Services Authority,All Facilities,All Other Procedures,64,12,1.5,6.7
14793,2010,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2108,554,3.6,10.7
14794,2010,Q4,Provincial Health Services Authority,All Facilities,Biopsy in OR,14,19,1.0,3.3
14795,2010,Q4,Provincial Health Services Authority,All Facilities,Breast Biopsy,17,54,1.7,3.4
14796,2010,Q4,Provincial Health Services Authority,All Facilities,Cone Biopsy,7,6,4.0,5.4
14797,2010,Q4,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,51,91,3.1,10.0
