,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1254,2009,Q1,Vancouver Coastal,All Facilities,Abdominoplasty,20,6,7.9,98.6
1255,2009,Q1,Vancouver Coastal,All Facilities,All Other Procedures,437,506,4.1,14.3
1256,2009,Q1,Vancouver Coastal,All Facilities,All Procedures,15463,15344,4.1,19.0
1257,2009,Q1,Vancouver Coastal,All Facilities,Aortic Aneurysm Repair,17,36,3.5,6.1
1258,2009,Q1,Vancouver Coastal,All Facilities,Appendectomy,3,8,5.3,11.6
1259,2009,Q1,Vancouver Coastal,All Facilities,Biopsy in OR,103,247,2.3,8.1
1260,2009,Q1,Vancouver Coastal,All Facilities,Bladder Surgery,306,368,4.0,20.4
1261,2009,Q1,Vancouver Coastal,All Facilities,Bowel Resection,102,176,2.4,11.4
1262,2009,Q1,Vancouver Coastal,All Facilities,Breast Biopsy,74,126,2.6,6.1
1263,2009,Q1,Vancouver Coastal,All Facilities,Breast Reconstruction,289,117,7.6,33.5
1264,2009,Q1,Vancouver Coastal,All Facilities,Breast Reduction,426,131,12.9,47.7
1265,2009,Q1,Vancouver Coastal,All Facilities,CSF Drainage,3,11,0.9,4.0
1266,2009,Q1,Vancouver Coastal,All Facilities,Cataract Surgery,2325,3601,4.3,13.4
1267,2009,Q1,Vancouver Coastal,All Facilities,Cholecystectomy,311,271,5.9,25.4
1268,2009,Q1,Vancouver Coastal,All Facilities,Colostomy/Ileostomy,60,50,3.0,23.5
1269,2009,Q1,Vancouver Coastal,All Facilities,Cone Biopsy,14,28,7.8,10.9
1270,2009,Q1,Vancouver Coastal,All Facilities,Cranial Surgery,69,140,1.4,8.4
1271,2009,Q1,Vancouver Coastal,All Facilities,Cyst/Ganglion Removal,183,97,4.9,18.0
1272,2009,Q1,Vancouver Coastal,All Facilities,D&C and Related Surgery,136,260,3.2,11.3
1273,2009,Q1,Vancouver Coastal,All Facilities,Dental Surgery,190,119,3.4,54.2
1274,2009,Q1,Vancouver Coastal,All Facilities,Endarterectomy,15,42,1.9,4.8
1275,2009,Q1,Vancouver Coastal,All Facilities,Examination Under Anaesthetic,26,29,5.1,8.3
1276,2009,Q1,Vancouver Coastal,All Facilities,Excision Gynecomastia,20,14,6.6,14.1
1277,2009,Q1,Vancouver Coastal,All Facilities,Excision Lesion/Tumour,152,195,2.9,11.1
1278,2009,Q1,Vancouver Coastal,All Facilities,Facial Bone Reconstruction,62,85,2.4,7.9
1279,2009,Q1,Vancouver Coastal,All Facilities,Fallopian Tube/Ovarian Surgery,197,231,4.4,13.1
1280,2009,Q1,Vancouver Coastal,All Facilities,Fistula Repair - Non Vascular,3,7,4.1,9.2
1281,2009,Q1,Vancouver Coastal,All Facilities,Foot/Ankle Surgery,141,94,2.8,29.3
1282,2009,Q1,Vancouver Coastal,All Facilities,Foreign Body Removal Surgery,12,8,2.0,8.3
1283,2009,Q1,Vancouver Coastal,All Facilities,Fracture Repair,66,83,0.9,5.8
1284,2009,Q1,Vancouver Coastal,All Facilities,Free Flap Graft,6,5,2.9,3.0
1285,2009,Q1,Vancouver Coastal,All Facilities,Hand/Wrist Surgery,162,107,6.0,38.3
1286,2009,Q1,Vancouver Coastal,All Facilities,Hernia Repair - Abdominal,767,597,6.4,27.9
1287,2009,Q1,Vancouver Coastal,All Facilities,Hernia Repair - Hiatal,83,13,12.0,25.9
1288,2009,Q1,Vancouver Coastal,All Facilities,Hip Replacement,422,437,8.7,34.7
1289,2009,Q1,Vancouver Coastal,All Facilities,Kidney/Bladder Stone Removal,45,118,3.0,8.5
1290,2009,Q1,Vancouver Coastal,All Facilities,Knee - ACL Repair,176,132,4.7,28.5
1291,2009,Q1,Vancouver Coastal,All Facilities,Knee - Meniscectomy,164,182,2.7,18.7
1292,2009,Q1,Vancouver Coastal,All Facilities,Knee Arthroscopy,303,174,8.4,23.2
1293,2009,Q1,Vancouver Coastal,All Facilities,Knee Replacement,629,595,8.4,34.7
1294,2009,Q1,Vancouver Coastal,All Facilities,Laparoscopy,72,112,3.1,12.0
1295,2009,Q1,Vancouver Coastal,All Facilities,Laparotomy,12,22,3.1,8.7
1296,2009,Q1,Vancouver Coastal,All Facilities,Lens & Vitreous (non-cataract) Surgery,175,242,1.1,4.7
1297,2009,Q1,Vancouver Coastal,All Facilities,Lipectomy,9,9,6.1,26.0
1298,2009,Q1,Vancouver Coastal,All Facilities,Lung Surgery,37,101,1.4,4.4
1299,2009,Q1,Vancouver Coastal,All Facilities,Male Reproductive Surgery,98,116,5.1,19.2
1300,2009,Q1,Vancouver Coastal,All Facilities,Mastectomy,112,278,2.0,5.7
1301,2009,Q1,Vancouver Coastal,All Facilities,Mastoidectomy,53,37,6.4,33.2
1302,2009,Q1,Vancouver Coastal,All Facilities,Myringotomy,26,33,5.1,14.2
1303,2009,Q1,Vancouver Coastal,All Facilities,Nasal Surgery,441,285,6.1,29.8
1304,2009,Q1,Vancouver Coastal,All Facilities,Nerve Surgery,69,77,2.6,18.0
1305,2009,Q1,Vancouver Coastal,All Facilities,Oral Cavity & Pharynx Surgery,12,8,2.1,4.8
1306,2009,Q1,Vancouver Coastal,All Facilities,Other Ear Surgery,39,14,7.9,51.0
1307,2009,Q1,Vancouver Coastal,All Facilities,Other Eye Surgery,677,602,3.9,21.0
1308,2009,Q1,Vancouver Coastal,All Facilities,Other Joint Reconstruction,328,136,2.7,42.9
1309,2009,Q1,Vancouver Coastal,All Facilities,Other Orthopaedic Surgery,462,391,3.1,18.1
1310,2009,Q1,Vancouver Coastal,All Facilities,Other Urology Surgery,287,460,2.7,9.3
1311,2009,Q1,Vancouver Coastal,All Facilities,Parotidectomy,24,36,3.0,18.6
1312,2009,Q1,Vancouver Coastal,All Facilities,Prostate Surgery,248,347,4.9,14.4
1313,2009,Q1,Vancouver Coastal,All Facilities,Rectal Surgery,319,180,6.9,29.2
1314,2009,Q1,Vancouver Coastal,All Facilities,Scope of Chest,22,40,1.0,2.9
1315,2009,Q1,Vancouver Coastal,All Facilities,Shoulder Surgery,523,177,13.4,34.0
1316,2009,Q1,Vancouver Coastal,All Facilities,Sinus Surgery,467,131,6.9,22.3
1317,2009,Q1,Vancouver Coastal,All Facilities,Skin Surgery,81,50,4.5,34.2
1318,2009,Q1,Vancouver Coastal,All Facilities,Skin Tumour Removal,172,224,3.1,11.9
1319,2009,Q1,Vancouver Coastal,All Facilities,Sphincterotomy,20,8,3.6,8.1
1320,2009,Q1,Vancouver Coastal,All Facilities,Spinal/Back Surgery,270,280,4.4,19.1
1321,2009,Q1,Vancouver Coastal,All Facilities,Tendon Surgery,69,54,2.0,13.7
1322,2009,Q1,Vancouver Coastal,All Facilities,Thyroidectomy,115,109,4.0,16.6
1323,2009,Q1,Vancouver Coastal,All Facilities,Tonsillectomy/Adenoidectomy,140,125,6.3,21.5
1324,2009,Q1,Vancouver Coastal,All Facilities,Tympanoplasty,208,100,7.8,68.2
1325,2009,Q1,Vancouver Coastal,All Facilities,Uterine Surgery,494,658,4.9,15.3
1326,2009,Q1,Vancouver Coastal,All Facilities,Vaginal Repair,85,94,5.0,12.7
1327,2009,Q1,Vancouver Coastal,All Facilities,Varicose Veins Ligation/Stripping,561,122,7.6,47.0
1328,2009,Q1,Vancouver Coastal,All Facilities,Vascular Bypass Graft - Non Cardiac,30,67,2.1,6.1
1329,2009,Q1,Vancouver Coastal,All Facilities,Vascular Surgery - Other,76,95,2.1,7.8
1330,2009,Q1,Vancouver Coastal,All Facilities,Wound/Laceration Care,88,61,2.1,20.0
1331,2009,Q1,Vancouver Coastal,Lions Gate Hospital,All Other Procedures,18,31,1.0,8.0
1332,2009,Q1,Vancouver Coastal,Lions Gate Hospital,All Procedures,1953,2461,4.7,19.9
1333,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Biopsy in OR,14,48,1.1,6.3
1334,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Bladder Surgery,72,81,4.0,25.3
1335,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Bowel Resection,11,26,1.7,5.5
1336,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Breast Reconstruction,17,7,16.3,60.0
1337,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Breast Reduction,72,25,11.4,60.6
1338,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Cataract Surgery,298,650,4.7,12.5
1339,2009,Q1,Vancouver Coastal,Lions Gate Hospital,Cholecystectomy,55,59,7.9,27.1
